SEN.2;SEN;Nr_SISF;Rank;Taxon_name;Authority;Subfamily;Family;Fern;Gymnosperm;Primitive_Angiosperm;Monocot;Eudicot;Garden_functional_group;Crop_use;Growth_form;Growth_form_simple;Liana;Carnivorous;Parasitic;Height_m;Leaf_duration;Pollination_mode;Structural_blossom_class;Tube_or_spur_present;Ressource;Visual_attraction;Alighting;Pollen_deposition_reception;Displaying_pollen;Pollinator_behaviour;Tube_spur_length_mm;Corolla_or_substitute_length_mm;Flower_diametre_mm;Inflorescence_diameter_mm;Coloured_bracts_or_substitute;Coloured_bract_lenght_mm;Brown_Drab;Green;Blue;Red;Orange;White;Yellow;Violet;Purpur_Magenta;Rose;January;February;March;April;May;June;July;August;September;October;November;December;Flower_onset;Months_flowering;Naturalization_status;Young_species;Freisetzungsverordnung;Black_list;Watch_list;Ecological_group;Red_list_CH;Red_list_MP;Red_list_MP2;IndigenatCH;Origin_status;Geographic_range_CHECK;Note
3880;3880;272800;sp;Ocimum basilicum;L.;NA;Lamiaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;0.6;deciduous;biotic;flag;1;NP;standard;lower_lip_or_carina;sternotribic;open;alighting;3;12;NA;NA;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;June;4;archeophyte;0;0;0;0;weeds_ruderal_plants;(DD);(DD);(DD);NC;1;A4b;
NA;NA;NA;sp;Ocimum tenuiflorum;L.;NA;Lamiaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;1;deciduous;biotic;flag;1;NP;standard;lower_lip_or_carina;sternotribic;open;alighting;NA;7;NA;NA;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;June;3;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A4b;
4027;4027;282700;sp;Orlaya grandiflora;(L.) Hoffm.;NA;Apiaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.7;deciduous_wintergreen;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;1.8;3.6;80;1;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;May;3;archeophyte;0;0;0;0;weeds_ruderal_plants;VU;CR;CR;A;0;D1;
4093;4093;287750;sp;Oxalis stricta;L.;NA;Oxalidaceae;0;0;0;0;1;spontanous;0;therophyte;annual plant;0;0;0;0.4;decidous_partly_wintergreen;biotic;dish_bowl;0;NP;diffuse;diffuse;diffuse_inside;open;primitive;0;7;10;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;June;4;neophyte;0;0;0;0;weeds_ruderal_plants;(LC);(LC);(LC);N;1;A2c;
4125;4126;290290;aggr;Panicum capillare aggr.;;NA;Poaceae;0;0;0;1;0;spontanous;0;therophyte;annual plant;0;0;0;0.9;deciduous;abiotic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;neophyte;0;0;0;0;weeds_ruderal_plants;NA;NA;NA;N;1;A2;
4133;4133;290600;sp;Panicum miliaceum;L.;NA;Poaceae;0;0;0;1;0;crop;1;therophyte;annual plant;0;0;0;1.2;deciduous;abiotic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;archeophyte;0;0;0;0;weeds_ruderal_plants;(LC);(NT);(NT);AC;1;B4a;
4151;4151;291095;sp;Papaver dubium;L.;NA;Papaveraceae;0;0;0;0;1;spontanous;0;therophyte;annual plant;0;0;0;0.6;deciduous_wintergreen;biotic;dish_bowl;0;P;diffuse;diffuse;diffuse_inside;open;primitive;0;30;50;NA;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;May;3;archeophyte;1;0;0;0;weeds_ruderal_plants;LC;NT;VU;I/A;0;C2;
4154;4154;291800;sp;Papaver rhoeas;L.;NA;Papaveraceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;1;deciduous_wintergreen;biotic;dish_bowl;0;P;diffuse;diffuse;diffuse_inside;open;primitive;0;40;70;NA;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;May;5;archeophyte;0;0;0;0;weeds_ruderal_plants;LC;LC;LC;A;0;C1;
4155;4155;292000;sp;Papaver somniferum;L.;NA;Papaveraceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;1;deciduous;biotic;dish_bowl;0;P;diffuse;diffuse;diffuse_inside;open;primitive;0;60;120;NA;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;May;3;archeophyte;1;0;0;0;weeds_ruderal_plants;(NT);(NT);(NT);AC;1;C2a;
NA;NA;NA;sp;Perilla frutescens;(L.) Britton;NA;Lamiaceae;0;0;0;0;1;crop;1;therophyte;annual plant;0;0;0;1.5;deciduous;biotic;gullet;1;NP;both_lips;lower_lip_or_carina;nototribic;hidden;alighting_forcing;4;5;NA;NA;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;August;1;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;C2b;
NA;NA;NA;hybrid;Petunia × atkinsiana;D. Don ex W. H. Baxter;NA;Solanaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.3;deciduous;biotic;bell_trumpet;0;NP;corolla_or_substitute;more_exact;central_inside;half_hidden;crawling_in;0;55;70;NA;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;May;6;neophyte;1;0;0;0;NA;NA;NA;NA;NC;1;CV;
NA;NA;NA;sp;Phacelia campanularia;A. Gray;NA;Boraginaceae;0;0;0;0;1;annual_border_flower;0;therophyte;annual plant;0;0;0;0.6;deciduous;biotic;bell_trumpet;0;NP;corolla_or_substitute;more_exact;central_inside;open;crawling_in;0;40;NA;NA;0;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;June;5;neophyte;0;0;0;0;NA;NA;NA;NA;NC;1;A2b;
4243;4243;297800;sp;Phacelia tanacetifolia;Benth.;NA;Boraginaceae;0;0;0;0;1;groundcover_structure;0;therophyte;annual plant;0;0;0;0.6;deciduous;biotic;bell_trumpet;1;NP;corolla_or_substitute;more_exact;diffuse_outside;open;alighting;11;11;9;NA;0;NA;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;May;6;neophyte;0;0;0;0;weeds_ruderal_plants;(LC);(LC);(LC);N;1;A2b;
4249;4249;298100;sp;Phalaris canariensis;L.;NA;Poaceae;0;0;0;1;0;spontanous;0;therophyte;annual plant;0;0;0;1.2;deciduous;abiotic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;neophyte;0;0;0;0;weeds_ruderal_plants;NT;NT;NT;N;1;A3d;
