ugs_id,period,network_id,N_interactions,P_plants,A_pollinators,L_links,singleton_rate,connectance,link_evenness,H2_specialization,WNODF_nestedness,ugs_type,site_name,lat,lon,s_N,s_P,s_A,s_L,s_singletons,score_richness,score_completeness,s_connectance,s_evenness,s_H2,score_structure,score_overall_site
53,ABC,ABC_53,155,27,39,82,0.7195121951219512,0.0778727445394112,0.9020506288900559,0.6166102033065197,7.425431711145998,Ruderal,Messe Hallenstadion /Cor: Offene Rennbahn,47.4104,8.55117,0.5908639523336644,0.6801801801801803,0.6952908587257618,0.9352750809061489,0.5359701406252376,0.7254025180364388,0.5359701406252376,0.23970320347242102,0.827816775505552,0.1633728247913723,0.41029760125644843,0.6087398133592011
44,ABC,ABC_44,160,25,48,81,0.7777777777777778,0.0675,0.8619265356097531,0.6982103500462182,3.2628051220488192,Park,Sonnenberg,47.3677599,8.56729097,0.6156901688182722,0.5900900900900902,0.9445983379501385,0.919093851132686,0.24130614710505305,0.7673681119977968,0.24130614710505305,0.13675626554870443,0.6937022849427917,0.49448761865387464,0.4416487230484569,0.580725871781913
45,ABC,ABC_45,166,25,38,66,0.7272727272727273,0.06947368421052631,0.8527839295209696,0.7443301155110462,4.695912263210369,Park,Kloptstockwiese,47.36235,8.52484,0.6454816285998015,0.5900900900900902,0.6675900277008311,0.6763754045307443,0.49672313937413465,0.6448842877303668,0.49672313937413465,0.15634459582427152,0.6631431904494313,0.6816311134270789,0.5003729665669272,0.5791242277682604
51,ABC,ABC_51,160,27,43,67,0.746268656716418,0.05770887166236004,0.8361588801746207,0.735652620667193,4.332801701222754,Ruderal,Stelzenstrasse,47.4254028,8.5568885,0.6156901688182722,0.6801801801801803,0.8060941828254847,0.6925566343042071,0.4006558527296441,0.6986302915320362,0.4006558527296441,0.039581725353638526,0.6075740836763472,0.6464198174764606,0.43119187550214877,0.572175799764086
9,ABC,ABC_9,216,27,39,73,0.726027397260274,0.06932573599240266,0.7573418165402649,0.5971480104421454,6.963776963776962,Allotment,Pauls Garden,47.36224,8.50003,0.893743793445879,0.6801801801801803,0.6952908587257618,0.7896440129449838,0.5030210926081669,0.7647147113242012,0.5030210926081669,0.15487624615372572,0.34412862054451343,0.08439968275822868,0.19446818315215594,0.569814355537983
19,ABC,ABC_19,133,28,44,77,0.7792207792207793,0.0625,0.8979552178625395,0.6788588495714487,3.133392077878483,Real estate,Sägestrasse,47.39319,8.44674,0.48162859980139033,0.7252252252252255,0.8337950138504155,0.8543689320388349,0.23400851875450773,0.7237544427289666,0.23400851875450773,0.08713249551726762,0.8141278938711823,0.415963641104259,0.43907467683090295,0.554635316459559
32,ABC,ABC_32,120,28,30,64,0.703125,0.0761904761904762,0.9151712327677036,0.6519491913380181,7.080087467541342,Garden,Kapfsteig,47.36071,8.56979,0.41708043694141017,0.7252252252252255,0.44598337950138506,0.6440129449838188,0.6188443888027894,0.5580754966629599,0.6188443888027894,0.2230071039366779,0.8716722987352901,0.3067703823311353,0.46714992833436775,0.5474978830087778
48,ABC,ABC_48,158,21,49,72,0.7916666666666666,0.06997084548104957,0.7506613394031081,0.8226112566877741,3.2728074394741062,Park,Bachwiesenpark,47.3813472,8.4865946,0.6057596822244291,0.40990990990991,0.9722991689750693,0.7734627831715211,0.17106647423105584,0.6903578860702324,0.17106647423105584,0.16127879913566806,0.32179917420146603,0.9992781393170899,0.49411870421807463,0.5374398082393577
55,ABC,ABC_55,128,31,33,61,0.7213114754098361,0.059628543499511244,0.8433966522581601,0.6689171783199407,8.47599865726754,Ruderal,Hinterhagenweg,47.3454633307774,8.51989234039952,0.4568023833167826,0.8603603603603606,0.5290858725761773,0.5954692556634305,0.5268707187895016,0.6104294679791877,0.5268707187895016,0.05863399611016198,0.6317662843327485,0.37562260547361637,0.35534096197217563,0.5299455916394975
23,ABC,ABC_23,217,18,32,44,0.6363636363636364,0.0763888888888889,0.6559274166121795,0.6925954233215251,4.386235233692861,Real estate,Leimbachstrasse,47.33505,8.52019,0.8987090367428004,0.2747747747747748,0.5013850415512465,0.3203883495145631,0.9564737254584817,0.4988143006458462,0.9564737254584817,0.2249763011601476,0.005151724865724746,0.4717035259863633,0.23394385067074522,0.5241285731145982
3,ABC,ABC_3,185,29,35,67,0.746268656716418,0.06600985221674877,0.7889190593483815,0.6127398293976287,5.581918081918082,Allotment,Gartenareal Breitenstein,47.39403,8.51594,0.7398212512413109,0.7702702702702705,0.5844875346260388,0.6925566343042071,0.4006558527296441,0.6967839226104569,0.4006558527296441,0.12196691536692149,0.44967532543830624,0.14766772976131912,0.23976999018884895,0.5233048255288923
17,ABC,ABC_17,126,25,42,68,0.7647058823529411,0.06476190476190476,0.889957110086189,0.6942458704590989,5.304335343095033,Real estate,Bernstrasse,47.40279,8.44555,0.4468718967229395,0.5900900900900902,0.778393351800554,0.7087378640776699,0.3074140745158745,0.6310233006728134,0.3074140745158745,0.1095813438648223,0.7873942766801897,0.47840066423394484,0.4584587615929856,0.5231603206714688
52,ABC,ABC_52,243,21,35,66,0.7424242424242424,0.08979591836734693,0.6116452872234694,0.6679507988770259,6.082815734989649,Ruderal,Güterstrasse,47.3822448636764,8.51737256111909,1,0.40990990990991,0.5844875346260388,0.6763754045307443,0.4200980416934102,0.6676932122666732,0.4200980416934102,0.35803777068888665,0,0.371701257990573,0.24324634289315322,0.5120624608086406
43,ABC,ABC_43,99,19,40,63,0.7619047619047619,0.08289473684210526,0.9364171166745012,0.7656386329126588,3.2239246908016623,Park,Villa Hohenbühl,47.3667038,8.55088549,0.31281032770605766,0.3198198198198199,0.7229916897506925,0.627831715210356,0.3215800589610504,0.4958633881217315,0.3215800589610504,0.28954524169812806,0.9426865114879676,0.7680962195433397,0.6667759909098118,0.5037348729866153
49,ABC,ABC_49,159,19,46,73,0.7945205479452054,0.08352402745995423,0.8294497613355197,0.6570533110687072,3.862828713574983,Ruderal,Nähe Europabrücke,47.3935133,8.49692767,0.6107249255213506,0.3198198198198199,0.8891966759002771,0.7896440129449838,0.15663366473639886,0.6523463585466078,0.15663366473639886,0.2957907962787437,0.5851489026524372,0.3274817366607772,0.40280714519731936,0.49081901644724396
12,ABC,ABC_12,86,30,29,47,0.723404255319149,0.054022988505747126,0.8861658964304697,0.7650194229421586,3.973444312326595,Allotment,Familiengarten Wehrenbach,47.35557,8.57667,0.2482621648460775,0.8153153153153155,0.41828254847645424,0.3689320388349514,0.516286994101128,0.46269801686819967,0.516286994101128,0.003000241728337458,0.7747221725531419,0.7655836066384415,0.5144353403066403,0.4863501431743955
50,ABC,ABC_50,126,20,37,63,0.7619047619047619,0.08513513513513514,0.860642627758688,0.6939178648523914,3.8385903426791277,Ruderal,Glattparkstrasse,47.4172938734014,8.56340153047356,0.4468718967229395,0.3648648648648649,0.6398891966759003,0.627831715210356,0.3215800589610504,0.5198644183685152,0.3215800589610504,0.31178064363255575,0.6894108322694016,0.47706969225423546,0.4927537227187309,0.47342987257457614
13,ABC,ABC_13,151,20,33,63,0.7619047619047619,0.09545454545454546,0.7734305464495733,0.7039150892293493,6.592717867091127,Real estate,Eisenbahnerstrasse,47.38901,8.49055,0.5710029791459782,0.3648648648648649,0.5290858725761773,0.627831715210356,0.3215800589610504,0.5231963579493442,0.3215800589610504,0.41419825254264636,0.3979050834919761,0.5176361498040377,0.4432464952795534,0.46288563248423775
46,ABC,ABC_46,145,22,37,57,0.7719298245614035,0.07002457002457002,0.8098816799304945,0.7237128298395793,4.468599033816425,Park,Muraltengut,47.3527107,8.53272972,0.5412115193644489,0.454954954954955,0.6398891966759003,0.5307443365695793,0.27088074620989433,0.5417000018912209,0.27088074620989433,0.16181200201420867,0.5197427325841931,0.5979708680982442,0.42650853423221535,0.4587382838402042
37,ABC,ABC_37,83,23,31,55,0.7454545454545455,0.07713884992987377,0.9436736791413097,0.6700877476865869,5.970287836583101,Park,Alter Botantischer Garten,47.3712063,8.53370916,0.23336643495531284,0.5000000000000001,0.4736842105263158,0.4983818770226537,0.40477302215726524,0.42635813062607064,0.40477302215726524,0.23241948000622167,0.9669415188640625,0.38037250911993226,0.5265778359967388,0.4470960352749766
14,ABC,ABC_14,94,24,31,60,0.7833333333333333,0.08064516129032258,0.9289492139524327,0.6950486375133962,3.6675020885547203,Real estate,Regina Pärkli,47.41207,8.53283,0.2879841112214499,0.5450450450450451,0.4736842105263158,0.5792880258899676,0.21321027795545416,0.47150034817069464,0.21321027795545416,0.26721875772812687,0.917725100842605,0.48165810994113417,0.5555339895039553,0.44085074446096173
15,ABC,ABC_15,97,21,25,43,0.7209302325581395,0.08190476190476191,0.8755550491016917,0.74123666600618,8.0718954248366,Real estate,Stüssistrasse,47.3933,8.54002,0.30287984111221455,0.40990990990991,0.30747922437673125,0.3042071197411003,0.5287987616590895,0.33111902378498903,0.5287987616590895,0.2797199839726056,0.7392554923718134,0.6690786005205117,0.5626846922883102,0.4285463884856394
1,ABC,ABC_1,115,20,27,45,0.6888888888888889,0.08333333333333333,0.8204825538319371,0.6308100238297479,11.645101663585953,Allotment,Gartenareal Breitenstein,47.39364,8.51663,0.3922542204568024,0.3648648648648649,0.3628808864265928,0.33656957928802583,0.6908400534986368,0.3641423877590715,0.6908400534986368,0.29389820398158745,0.5551760766570415,0.2209924594769779,0.3566889133718689,0.4276185523101839
27,ABC,ABC_27,134,24,37,62,0.7903225806451613,0.06981981981981981,0.8502929624981581,0.6013107086587945,6.148266100495399,Garden,Breitensteinstrasse,47.39275,8.52191,0.4865938430983119,0.5450450450450451,0.6398891966759003,0.6116504854368932,0.17786386192853945,0.5707946425640376,0.17786386192853945,0.1597799065993259,0.654817151255494,0.1012909631907801,0.3052960070152,0.42583382754972854
54,ABC,ABC_54,156,15,26,39,0.5897435897435898,0.1,0.6676132425133416,0.57716074305045,8.717054263565892,Ruderal,Herdernstrasse,47.3852502,8.50731145,0.595829195630586,0.13963963963963966,0.335180055401662,0.23948220064724915,1,0.3275327728297842,1,0.45931077075304344,0.04421151312289245,0.0032959079894481756,0.16893939728846136,0.42237787437849666
33,ABC,ABC_33,63,17,17,35,0.6571428571428571,0.12110726643598616,0.9303954767178817,0.6754756612733398,7.965686274509805,Garden,Hardlaubstrasse 48,47.3840958192914,8.55396999567992,0.13406156901688185,0.22972972972972977,0.0858725761772853,0.174757281553398,0.8513878772106309,0.15610528911932373,0.8513878772106309,0.6687951978753717,0.9225592236389275,0.40223543422370234,0.6645299519126672,0.42226797243592107
30,ABC,ABC_30,76,22,18,43,0.6976744186046512,0.10858585858585859,0.9192469701511972,0.6381251520306402,11.0546875,Garden,Eleonorenstrasse,47.3731,8.55761,0.19860973187686198,0.454954954954955,0.11357340720221605,0.3042071197411003,0.6464093767039221,0.26783630344378334,0.6464093767039221,0.5445233051504601,0.8852954213573075,0.2506755821561907,0.5601647695546528,0.41663303462352846
38,ABC,ABC_38,114,20,24,47,0.7021276595744681,0.09791666666666667,0.8037543292405723,0.6373534719701419,8.444206008583691,Park,Park Pfingstweid,47.3879955,8.51274138,0.38728897715988087,0.3648648648648649,0.27977839335180055,0.3689320388349514,0.6238881950995924,0.35021606855287446,0.6238881950995924,0.4386341999066114,0.4992621073763532,0.24754428038323198,0.3951468625553989,0.4161831923628492
16,ABC,ABC_16,118,19,25,43,0.6976744186046512,0.09052631578947369,0.8136802342473106,0.6563916300415986,8.779193205944798,Real estate,Grünau,47.39639,8.49091,0.40714995034756707,0.3198198198198199,0.30747922437673125,0.3042071197411003,0.6464093767039221,0.3346640285713046,0.6464093767039221,0.36528678543032117,0.5324393728176773,0.32479678588988337,0.4075076480459606,0.4152240030664921
59,ABC,ABC_59,116,15,30,52,0.7115384615384616,0.11555555555555555,0.8201601624073434,0.5399595392550048,7.888007054673721,Ruderal,Hofwiesenstrasse,47.4045952,8.53645843,0.39721946375372397,0.13963963963963966,0.44598337950138506,0.44983818770226536,0.5762953561964255,0.3581701676492535,0.5762953561964255,0.6136958330730689,0.5540984856603018,0,0.38926477291112355,0.40956885667415543
34,ABC,ABC_34,68,22,29,49,0.7755102040816326,0.0768025078369906,0.9610467896556404,0.7421911288824982,3.8356881214024074,Garden,NA,47.33657,8.51649,0.1588877855014896,0.454954954954955,0.41828254847645424,0.401294498381877,0.25277384879876713,0.35835494682869395,0.25277384879876713,0.2290813674723963,1,0.6729515932928122,0.6340109869217362,0.4061527372459692
22,ABC,ABC_22,237,15,28,44,0.7272727272727273,0.10476190476190476,0.5246168841920753,0.5690382858070802,9.993098688750864,Real estate,Hägelerweg,47.36794,8.50046,0.9980139026812315,0.13963963963963966,0.39058171745152354,0.3203883495145631,0.49672313937413465,0.4621559023217394,0.49672313937413465,0.5065715041163166,0,0,0.16885716803877218,0.39574466616147674
2,ABC,ABC_2,123,24,32,50,0.8,0.06510416666666667,0.7949988333430232,0.7358050524433919,5.082037996545769,Allotment,Grubenacker,47.4177,8.55346,0.4319761668321748,0.5450450450450451,0.5013850415512465,0.4174757281553398,0.12892267050665696,0.4739704953959516,0.12892267050665696,0.11297820907530766,0.4699969258874901,0.6470383508758578,0.41000449527955185,0.3889694303889928
5,ABC,ABC_5,65,14,23,33,0.696969696969697,0.10248447204968944,0.9051498488269354,0.7468884843863871,7.703488372093023,Allotment,Gartenareal Breitenstein,47.3938,8.51659,0.14399205561072495,0.0945945945945946,0.2520775623268698,0.14239482200647247,0.6499733347355835,0.15826475863466544,0.6499733347355835,0.48396854468170764,0.8381758956499712,0.6920123911162601,0.6713856104826463,0.3848866868168443
18,ABC,ABC_18,86,14,26,46,0.7608695652173914,0.12637362637362637,0.8576378377661579,0.6800135660713865,5.85794413919414,Real estate,Färberstrasse,47.36174,8.54998,0.2482621648460775,0.0945945945945946,0.335180055401662,0.35275080906148865,0.32681531408209324,0.2576969059759557,0.32681531408209324,0.7210625247650176,0.6793673435285832,0.42064921743129924,0.6070263619083001,0.3588529515802693
11,ABC,ABC_11,59,20,15,34,0.7352941176470589,0.11333333333333333,0.9006749962723327,0.7322114751092844,7.5423728813559325,Allotment,Familiengarten Heuelsteig,47.3683693914919,8.57004185552238,0.11420059582919564,0.3648648648648649,0.030470914127423813,0.15857605177993522,0.4561569111902215,0.1670281066503549,0.4561569111902215,0.591640824170208,0.8232187334653588,0.6324564332476009,0.6824386636277225,0.35370650680267013
42,ABC,ABC_42,69,14,18,28,0.6785714285714286,0.1111111111111111,0.7717245389069982,0.749980992361969,3.5860655737704916,Park,Bäckeralage,47.3778306,8.52357823,0.16385302879841115,0.0945945945945946,0.11357340720221605,0.06148867313915853,0.7430180962050347,0.10837742593359509,0.7430180962050347,0.5695858152673473,0.392202765663376,0.7045610835116229,0.5554498881474488,0.34707367554134644
24,ABC,ABC_24,98,19,33,49,0.7755102040816326,0.07814992025518341,0.8008430688570367,0.6379169610706767,5.042918454935623,Real estate,Altwiesenstrasse,47.40297,8.57899,0.3078450844091361,0.3198198198198199,0.5290858725761773,0.401294498381877,0.25277384879876713,0.3895113187967526,0.25277384879876713,0.2424541042679768,0.48953124067474735,0.24983079069996633,0.32727204521423015,0.34660400640152494
8,ABC,ABC_8,75,20,29,48,0.8125,0.08275862068965517,0.9195435561245406,0.710226874846683,5.855704697986577,Allotment,Familiengartenverein Wiedikon,47.3591153,8.50162658610434,0.19364448857994043,0.3648648648648649,0.41828254847645424,0.3851132686084142,0.06570696492005948,0.34047629263241846,0.06570696492005948,0.2881943223687787,0.8862867578205429,0.543247937001609,0.5725763390636436,0.34354743869775295
41,ABC,ABC_41,33,8,7,13,0.38461538461538464,0.23214285714285715,0.8692381848809759,0.5217639793816943,NA,Park,Pestalozianlage,47.375636,8.53877523,0,0,0,0,1,0,1,1,0.7181414195628135,0,0.5727138065209378,0.34317845163023447
31,ABC,ABC_31,76,17,26,43,0.7906976744186046,0.09728506787330317,0.874708595827895,0.7533336907605309,4.045553145336225,Garden,Schützenmatt,47.40882,8.52423,0.19860973187686198,0.22972972972972977,0.335180055401662,0.3042071197411003,0.17596691652459057,0.2669316591873385,0.17596691652459057,0.43236573725181077,0.7364262284478319,0.7181655693303094,0.628985845009984,0.3392522571104503
47,ABC,ABC_47,78,14,30,42,0.8095238095238095,0.1,0.8608652168977474,0.754011755343015,2.8041825095057034,Park,Schärrerwiese,47.4027993,8.4975626,0.20854021847070509,0.0945945945945946,0.44598337950138506,0.2880258899676375,0.08075832339305888,0.2592860206335806,0.08075832339305888,0.45931077075304344,0.6901548348511223,0.720917000834114,0.6234608688127599,0.3146241932302711
40,ABC,ABC_40,53,11,21,37,0.7837837837837838,0.16017316017316016,0.9527326306022202,0.6009093326023655,10.670859538784068,Park,Josefwiese,47.3857731,8.52359424,0.08440913604766634,0,0.1966759002770083,0.20711974110032358,0.2109322345108921,0.12205119435624956,0.2109322345108921,1,0.9972209983709355,0.0996622706516623,0.6989610896741992,0.2840548762166655
29,ABC,ABC_29,36,16,22,30,0.8666666666666667,0.08522727272727272,0.9743514796992356,0.8506659097618534,2.2792022792022792,Garden,Bühlwiesenstrasse,47.41697,8.5472,0,0.1846846846846847,0.22437673130193905,0.0938511326860841,0,0.12572813716817696,0,0.3126950865692529,1,1,0.7708983621897509,0.26187506598993504
6,ABC,ABC_6,36,12,11,17,0.7647058823529411,0.12878787878787878,0.8406398152007667,0.824390214884234,NA,Allotment,Juchhof,47.4014442872832,8.47412973187809,0,0.00450450450450449,0,0,0.3074140745158745,0.0011261261261261224,0.3074140745158745,0.7450233860855582,0.6225515764779457,1,0.7891916541878347,0.2594000978195029
28,ABC,ABC_28,17,7,13,16,0.9375,0.17582417582417584,0.9924539456067025,0.8255992241346518,NA,Garden,Kasinostrasse,47.3681,8.55506,0,0,0,0,0,0,0,1,1,1,1,0.25
4,ABC,ABC_4,40,14,19,29,0.8620689655172413,0.10902255639097744,0.9412498501327212,0.803264387629252,1.3358778625954197,Allotment,Juchhof,47.39934,8.4781,0.0198609731876862,0.0945945945945946,0.1412742382271468,0.07766990291262131,0,0.08334992723051222,0,0.5488574234413504,0.9588398879953679,0.9207729549988264,0.8094900888118483,0.2482149821797438
36,ABC,ABC_36,37,15,17,25,0.8,0.09803921568627451,0.9290412648575913,0.7840308045426801,4.771784232365145,Garden,Blüemlisalpstrasse,47.39129,8.54827,0.00496524329692155,0.13963963963963966,0.0858725761772853,0.01294498381877018,0.12892267050665696,0.060855610733154174,0.12892267050665696,0.43985046877993095,0.9180327803249785,0.8427274593300146,0.7335369028116413,0.24263934570747653
60,ABC,ABC_60,102,13,14,28,0.8214285714285714,0.15384615384615385,0.6405145937173968,0.6411179235552434,7.001972386587772,Ruderal,Am Giessen,47.3996768,8.49474495,0.3277060575968223,0.04954954954954954,0.002770083102493065,0.06148867313915853,0.020552889501061284,0.11037859084700587,0.020552889501061284,0.9937206018608242,0,0.2628195667694494,0.4188467228767579,0.16953048358525497
