feasibility_rank,feasibility_tier,preferred_tier,plant,family,primary_group,restrictive_subtype,decision_rule,periods_present,period_a,period_b,period_c,n_periods_from_flowers,n_site_periods_present,n_site_periods_with_bee,n_site_periods_without_bee,n_sites_present,n_periods_present,total_bee_visits,balance_score,max_site_period_share,in_botgarden,structural_blossom_class,displaying_pollen,tube_or_spur_present,tube_spur_length_mm,pollinator_behaviour,corolla_or_substitute_length_mm,alighting,trait_lookup_name,trait_match_type,trait_source_dataset,trait_match_note,selection_pool
15,good,FALSE,Geum urbanum,Rosaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,26,6,20,19,3,7,6,0.2857142857142857,TRUE,dish_bowl,open,0,0,primitive,7,diffuse,Geum urbanum,exact,extended_db,Exact species-level trait match.,main
16,good,FALSE,Veronica chamaedrys,Plantaginaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B,TRUE,TRUE,FALSE,2,17,6,11,15,2,14,6,0.35714285714285715,TRUE,dish_bowl,open,0,0,alighting,7,more_exact,Veronica chamaedrys,exact,extended_db,Exact species-level trait match.,main
23,good,FALSE,Fragaria vesca,Rosaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,19,4,15,15,3,5,4,0.4,TRUE,dish_bowl,open,0,0,primitive,7.5,diffuse,Fragaria vesca,exact,extended_db,Exact species-level trait match.,main
24,good,FALSE,Geranium sanguineum,Geraniaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,14,10,4,8,3,44,4,0.4772727272727273,TRUE,dish_bowl,open,0,0,primitive,21,diffuse,Geranium sanguineum,exact,extended_db,Exact species-level trait match.,main
28,good,FALSE,Aegopodium podagraria,Apiaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B,TRUE,TRUE,FALSE,2,10,7,3,9,2,114,3,0.37719298245614036,TRUE,dish_bowl,open,0,0,primitive,1.5,diffuse,Aegopodium podagraria,exact,extended_db,Exact species-level trait match.,main
30,good,FALSE,Geranium pyrenaicum,Geraniaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,11,3,8,8,3,13,3,0.5384615384615384,TRUE,dish_bowl,open,0,0,primitive,10,diffuse,Geranium pyrenaicum,exact,extended_db,Exact species-level trait match.,main
37,good,FALSE,Helianthemum nummularium,Cistaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,10,8,2,7,3,23,2,0.34782608695652173,TRUE,dish_bowl,open,0,0,primitive,9,diffuse,Helianthemum nummularium,exact,extended_db,Exact species-level trait match.,main
45,good,FALSE,Knautia arvensis,Caprifoliaceae,open_access,NA,open_override_blossom_plus_open_pollen,A/B/C,TRUE,TRUE,TRUE,3,7,5,2,5,3,41,2,0.6097560975609756,TRUE,dish_bowl,open,1,9,primitive,9,diffuse,Knautia arvensis,exact,extended_db,Exact species-level trait match.,main
2,preferred,TRUE,Trifolium pratense,Fabaceae,restrictive_access,both_restrictive,restrictive_both,A/B/C,TRUE,TRUE,TRUE,3,64,38,26,29,3,91,26,0.10989010989010989,TRUE,flag,hidden,1,8,alighting_forcing,18,lower_lip_or_carina,Trifolium pratense,exact,extended_db,Exact species-level trait match.,main
3,preferred,TRUE,Vicia sepium,Fabaceae,restrictive_access,both_restrictive,restrictive_both,A/B/C,TRUE,TRUE,TRUE,3,39,22,17,25,3,64,17,0.265625,TRUE,flag,hidden,1,5,alighting_forcing,15,lower_lip_or_carina,Vicia sepium,exact,extended_db,Exact species-level trait match.,main
5,preferred,TRUE,Lotus corniculatus,Fabaceae,restrictive_access,both_restrictive,restrictive_both,A/B/C,TRUE,TRUE,TRUE,3,38,24,14,21,3,107,14,0.18691588785046728,TRUE,flag,hidden,1,5,alighting_forcing,18,lower_lip_or_carina,Lotus corniculatus,exact,extended_db,Exact species-level trait match.,main
7,preferred,TRUE,Trifolium repens,Fabaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,A/B/C,TRUE,TRUE,TRUE,3,57,45,12,34,3,476,12,0.20798319327731093,TRUE,flag,hidden,1,3,alighting_forcing,8,lower_lip_or_carina,Trifolium repens,exact,extended_db,Exact species-level trait match.,main
8,preferred,TRUE,Medicago lupulina,Fabaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,A/B/C,TRUE,TRUE,TRUE,3,44,11,33,26,3,19,11,0.3157894736842105,TRUE,flag,hidden,1,1,alighting_forcing,3,lower_lip_or_carina,Medicago lupulina,exact,extended_db,Exact species-level trait match.,main
17,preferred,TRUE,Rhinanthus alectorolophus,Orobanchaceae,restrictive_access,both_restrictive,restrictive_both,A/B/C,TRUE,TRUE,TRUE,3,20,14,6,14,3,45,6,0.2,TRUE,gullet,hidden,1,14.5,alighting_forcing,20,lower_lip_or_carina,Rhinanthus alectorolophus,exact,manual_fill,Exact species-level trait match.,main
12,good,FALSE,Prunella vulgaris,Lamiaceae,restrictive_access,both_restrictive,restrictive_both,B/C,FALSE,TRUE,TRUE,2,24,16,8,22,2,107,8,0.19626168224299065,TRUE,gullet,hidden,1,8,alighting_forcing,15,lower_lip_or_carina,Prunella vulgaris,exact,extended_db,Exact species-level trait match.,main
14,good,FALSE,Medicago sativa,Fabaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,B/C,FALSE,TRUE,TRUE,2,18,11,7,15,2,67,7,0.31343283582089554,TRUE,flag,hidden,1,2.5,alighting_forcing,10,lower_lip_or_carina,Medicago sativa,exact,extended_db,Exact species-level trait match.,main
19,good,FALSE,Glechoma hederacea,Lamiaceae,restrictive_access,both_restrictive,restrictive_both,A/B,TRUE,TRUE,FALSE,2,15,5,10,15,2,13,5,0.46153846153846156,TRUE,gullet,hidden,1,12,alighting_forcing,20,lower_lip_or_carina,Glechoma hederacea,exact,extended_db,Exact species-level trait match.,main
22,good,FALSE,Anthyllis vulneraria,Fabaceae,restrictive_access,both_restrictive,restrictive_both,A/B,TRUE,TRUE,FALSE,2,11,5,6,8,2,10,5,0.3,TRUE,flag,hidden,1,10,alighting_forcing,14,lower_lip_or_carina,Anthyllis vulneraria,exact,extended_db,Exact species-level trait match.,main
27,good,FALSE,Onobrychis viciifolia,Fabaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,A/B/C,TRUE,TRUE,TRUE,3,14,11,3,10,3,147,3,0.20408163265306123,TRUE,flag,hidden,1,2,alighting_forcing,14,lower_lip_or_carina,Onobrychis viciifolia,exact,extended_db,Exact species-level trait match.,main
31,good,FALSE,Myosotis arvensis,Boraginaceae,restrictive_access,restricted_pollen_handling,restrictive_pollen_handling,A/B/C,TRUE,TRUE,TRUE,3,7,3,4,5,3,14,3,0.5714285714285714,TRUE,stielteller,hidden,1,1,alighting,1.5,margin,Myosotis arvensis,exact,extended_db,Exact species-level trait match.,main
35,good,FALSE,Salvia pratensis,Lamiaceae,restrictive_access,both_restrictive,restrictive_both,A/B/C,TRUE,TRUE,TRUE,3,18,16,2,13,3,72,2,0.18055555555555555,TRUE,gullet,hidden,1,11,alighting_forcing,25,lower_lip_or_carina,Salvia pratensis,exact,extended_db,Exact species-level trait match.,main
42,good,FALSE,Valeriana rubra,Caprifoliaceae,restrictive_access,concealed_nectar,restrictive_concealed_nectar,A/B/C,TRUE,TRUE,TRUE,3,9,2,7,6,3,6,2,0.6666666666666666,FALSE,stielteller,open,1,9,alighting,11,margin,Centranthus ruber,synonym,extended_db,Trait row taken from accepted synonym / taxonomic equivalent.,main
43,good,FALSE,Echium vulgare,Boraginaceae,restrictive_access,concealed_nectar,restrictive_concealed_nectar,A/B/C,TRUE,TRUE,TRUE,3,8,6,2,6,3,114,2,0.6140350877192983,TRUE,bell_trumpet,open,1,5,alighting,20,more_exact,Echium vulgare,exact,extended_db,Exact species-level trait match.,main
