ugs_id,ugs_type,site_name,plants_recorded_total,P_plants_interacting,A_pollinators,N_interactions,L_links,singleton_rate,share_interactions_species_id,share_bee_interactions,score_overall_site
17,Real estate,Bernstrasse,50,25,42,126,68,0.7647058823529411,0.8968253968253969,0.7301587301587301,0.5231603206714688
52,Ruderal,Güterstrasse,36,21,35,243,66,0.7424242424242424,0.9958847736625515,0.9423868312757202,0.5120624608086406
43,Park,Villa Hohenbühl,38,19,40,99,63,0.7619047619047619,0.9797979797979798,0.7777777777777778,0.5037348729866153
49,Ruderal,Nähe Europabrücke,37,19,46,159,73,0.7945205479452054,0.9748427672955975,0.7672955974842768,0.49081901644724396
12,Allotment,Familiengarten Wehrenbach,76,30,29,86,47,0.723404255319149,0.9302325581395349,0.8837209302325582,0.4863501431743955
50,Ruderal,Glattparkstrasse,36,20,37,126,63,0.7619047619047619,0.9841269841269841,0.753968253968254,0.47342987257457614
13,Real estate,Eisenbahnerstrasse,41,20,33,151,63,0.7619047619047619,0.9867549668874173,0.8278145695364238,0.46288563248423775
46,Park,Muraltengut,41,22,37,145,57,0.7719298245614035,0.9862068965517241,0.8137931034482758,0.4587382838402042
37,Park,Alter Botantischer Garten,55,23,31,83,55,0.7454545454545455,0.927710843373494,0.7590361445783133,0.4470960352749766
14,Real estate,Regina Pärkli,58,24,31,94,60,0.7833333333333333,0.7872340425531915,0.7021276595744681,0.44085074446096173
15,Real estate,Stüssistrasse,65,21,25,97,43,0.7209302325581395,0.9484536082474226,0.8762886597938144,0.4285463884856394
1,Allotment,Gartenareal Breitenstein,67,20,27,115,45,0.6888888888888889,0.9652173913043478,0.8347826086956521,0.4276185523101839
27,Garden,Breitensteinstrasse,68,24,37,134,62,0.7903225806451613,0.9850746268656716,0.8432835820895522,0.42583382754972854
54,Ruderal,Herdernstrasse,38,15,26,156,39,0.5897435897435898,0.9615384615384616,0.8653846153846154,0.42237787437849666
33,Garden,Hardlaubstrasse 48,50,17,17,63,35,0.6571428571428571,0.9841269841269841,0.8888888888888888,0.42226797243592107
30,Garden,Eleonorenstrasse,60,22,18,76,43,0.6976744186046512,0.9736842105263158,0.8421052631578947,0.41663303462352846
38,Park,Park Pfingstweid,52,20,24,114,47,0.7021276595744681,0.9736842105263158,0.868421052631579,0.4161831923628492
16,Real estate,Grünau,35,19,25,118,43,0.6976744186046512,0.9915254237288136,0.9152542372881356,0.4152240030664921
59,Ruderal,Hofwiesenstrasse,31,15,30,116,52,0.7115384615384616,1,0.8706896551724138,0.40956885667415543
34,Garden,NA,56,22,29,68,49,0.7755102040816326,0.9705882352941176,0.7647058823529411,0.4061527372459692
22,Real estate,Hägelerweg,36,15,28,237,44,0.7272727272727273,0.9915611814345991,0.9367088607594937,0.39574466616147674
2,Allotment,Grubenacker,62,24,32,123,50,0.8,0.9349593495934959,0.7479674796747967,0.3889694303889928
5,Allotment,Gartenareal Breitenstein,49,14,23,65,33,0.696969696969697,0.9846153846153847,0.8307692307692308,0.3848866868168443
18,Real estate,Färberstrasse,32,14,26,86,46,0.7608695652173914,0.9767441860465116,0.627906976744186,0.3588529515802693
11,Allotment,Familiengarten Heuelsteig,59,20,15,59,34,0.7352941176470589,0.9152542372881356,0.8135593220338984,0.35370650680267013
42,Park,Bäckeralage,19,14,18,69,28,0.6785714285714286,0.9420289855072463,0.7536231884057971,0.34707367554134644
24,Real estate,Altwiesenstrasse,38,19,33,98,49,0.7755102040816326,1,0.7346938775510204,0.34660400640152494
8,Allotment,Familiengartenverein Wiedikon,68,20,29,75,48,0.8125,0.9733333333333334,0.7333333333333333,0.34354743869775295
41,Park,Pestalozianlage,13,8,7,33,13,0.38461538461538464,1,0.9090909090909091,0.34317845163023447
31,Garden,Schützenmatt,38,17,26,76,43,0.7906976744186046,0.9605263157894737,0.7894736842105263,0.3392522571104503
47,Park,Schärrerwiese,34,14,30,78,42,0.8095238095238095,0.9743589743589743,0.7948717948717948,0.3146241932302711
40,Park,Josefwiese,26,11,21,53,37,0.7837837837837838,1,0.6037735849056604,0.2840548762166655
29,Garden,Bühlwiesenstrasse,60,16,22,36,30,0.8666666666666667,1,0.75,0.26187506598993504
6,Allotment,Juchhof,32,12,11,36,17,0.7647058823529411,0.5833333333333334,0.4722222222222222,0.2594000978195029
28,Garden,Kasinostrasse,34,7,13,17,16,0.9375,0.8823529411764706,0.6470588235294118,0.25
4,Allotment,Juchhof,49,14,19,40,29,0.8620689655172413,1,0.8,0.2482149821797438
36,Garden,Blüemlisalpstrasse,43,15,17,37,25,0.8,1,0.8648648648648649,0.24263934570747653
60,Ruderal,Am Giessen,38,13,14,102,28,0.8214285714285714,0.9901960784313726,0.9019607843137255,0.16953048358525497
